For France,For France,For France,For France,For France,For France,For France,For France,For France,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,,,,,
Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Match Report
2022-11-22,22:00 (14:00),Group stage,Tue,Neutral,W,4,1,au Australia,20,14,7,10,3,6,9,66.7,3,7,0,7,12,32,6,1,Match Report
2022-11-26,19:00 (11:00),Group stage,Sat,Neutral,W,2,1,dk Denmark,20,12,14,5,1,10,15,66.7,5,10,2,8,10,30,15,0,Match Report
2022-11-30,18:00 (10:00),Group stage,Wed,Neutral,L,0,1,tn Tunisia,37,19,16,16,5,7,10,70.0,3,8,0,8,13,50,21,0,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-04,18:00 (10:00),Round of 16,Sun,Neutral,W,3,1,pl Poland,11,7,7,3,1,6,12,50.0,6,13,6,7,9,20,10,0,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-10,22:00 (14:00),Quarter-finals,Sat,Neutral,W,2,1,eng England,10,7,7,2,1,5,9,55.6,4,7,5,2,5,15,16,0,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-14,22:00 (14:00),Semi-finals,Wed,Neutral,W,2,0,ma Morocco,21,14,13,7,1,11,18,61.1,7,16,6,10,18,39,17,0,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-18,18:00 (10:00),Final,Sun,Neutral,D,3 (2),3 (4),ar Argentina,26,15,13,11,2,10,18,55.6,8,12,3,9,9,35,18,0,Match Report
,,,,,5-1-1,16,8,,145,88,77,54,14,55,91,60.4,36,73,22,51,76,221,103,1,
