Against France,Against France,Against France,Against France,Against France,Against France,Against France,Against France,Against France,Against France,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,
Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Match Report
2022-11-22,22:00 (14:00),Group stage,Tue,Neutral,L,1,4,au Australia,38,567,73,222,281,67,7,567,11,3,27.3,6,54.5,304,1665,802,10,7,1,12,14,390,22,Match Report
2022-11-26,19:00 (11:00),Group stage,Sat,Neutral,L,1,2,dk Denmark,51,683,56,161,376,154,15,683,16,5,31.3,10,62.5,482,2117,1192,13,12,2,15,10,481,58,Match Report
2022-11-30,18:00 (10:00),Group stage,Wed,Neutral,W,1,0,tn Tunisia,35,501,53,174,215,118,16,501,13,3,23.1,7,53.8,257,1315,482,11,4,3,17,30,271,38,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-04,18:00 (10:00),Round of 16,Sun,Neutral,L,1,3,pl Poland,45,593,55,169,314,115,25,592,14,6,42.9,6,42.9,396,2102,1073,17,13,2,13,5,397,38,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-10,22:00 (14:00),Quarter-finals,Sat,Neutral,L,1,2,eng England,57,637,45,159,330,157,22,635,12,4,33.3,5,41.7,460,2914,1585,21,21,2,9,5,455,44,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-14,22:00 (14:00),Semi-finals,Wed,Neutral,L,0,2,ma Morocco,61,704,39,168,412,131,25,704,21,7,33.3,11,52.4,499,3096,1698,29,26,5,19,10,513,43,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-18,18:00 (10:00),Final,Sun,Neutral,D,3 (4),3 (2),ar Argentina,54,848,66,264,373,220,28,847,24,8,33.3,10,41.7,523,2667,1242,26,14,8,27,16,549,63,Match Report
,,,,,5-1-1,8,16,,48.7,4533,387,1317,2301,962,138,4529,111,36,32.4,55,49.5,2921,15876,8074,127,97,23,112,90,3056,306,
