Against France,Against France,Against France,Against France,Against France,Against France,Against France,Against France,Against France,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,
Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
2022-11-22,22:00 (14:00),Group stage,Tue,Neutral,L,1,4,au Australia,1,4,1,25.0,0.25,1.00,19.5,0,0,0,0.5,0.5,0.13,+0.5,+0.5,Match Report
2022-11-26,19:00 (11:00),Group stage,Sat,Neutral,L,1,2,dk Denmark,1,10,2,20.0,0.10,0.50,21.7,0,0,0,0.6,0.6,0.06,+0.4,+0.4,Match Report
2022-11-30,18:00 (10:00),Group stage,Wed,Neutral,W,1,0,tn Tunisia,1,5,3,60.0,0.20,0.33,18.5,0,0,0,0.5,0.5,0.10,+0.5,+0.5,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-04,18:00 (10:00),Round of 16,Sun,Neutral,L,1,3,pl Poland,1,11,1,9.1,0.00,0.00,17.3,1,1,1,1.7,0.9,0.09,-0.7,-0.9,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-10,22:00 (14:00),Quarter-finals,Sat,Neutral,L,1,2,eng England,1,14,6,42.9,0.00,0.00,21.2,2,1,2,2.4,0.8,0.06,-1.4,-0.8,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-14,22:00 (14:00),Semi-finals,Wed,Neutral,L,0,2,ma Morocco,0,13,2,15.4,0.00,0.00,17.8,0,0,0,0.9,0.9,0.08,-0.9,-0.9,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-18,18:00 (10:00),Final,Sun,Neutral,D,3 (4),3 (2),ar Argentina,3,19,9,47.4,0.11,0.22,19.2,0,1,1,3.2,2.4,0.13,-0.2,-0.4,Match Report
,,,,,5-1-1,8,16,,8,76,24,31.6,0.07,0.21,19.3,3,3,4,9.9,6.8,0.09,-1.9,-1.8,
