 
For France,For France,For France,For France,For France,For France,For France,For France,For France,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,
Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
2022-11-22,22:00 (14:00),Group stage,Tue,Neutral,W,4,1,au Australia,4,23,6,26.1,0.17,0.67,13.7,0,0,0,4.0,4.0,0.18,0.0,0.0,Match Report
2022-11-26,19:00 (11:00),Group stage,Sat,Neutral,W,2,1,dk Denmark,2,21,6,28.6,0.10,0.33,13.8,0,0,0,2.4,2.4,0.12,-0.4,-0.4,Match Report
2022-11-30,18:00 (10:00),Group stage,Wed,Neutral,L,0,1,tn Tunisia,0,10,3,30.0,0.00,0.00,18.9,1,0,0,0.8,0.8,0.08,-0.8,-0.8,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-04,18:00 (10:00),Round of 16,Sun,Neutral,W,3,1,pl Poland,3,16,8,50.0,0.19,0.38,17.9,1,0,0,1.4,1.4,0.09,+1.6,+1.6,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-10,22:00 (14:00),Quarter-finals,Sat,Neutral,W,2,1,eng England,2,8,5,62.5,0.25,0.40,16.4,0,0,0,0.9,0.9,0.13,+1.1,+1.1,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-14,22:00 (14:00),Semi-finals,Wed,Neutral,W,2,0,ma Morocco,2,14,2,14.3,0.14,1.00,13.0,0,0,0,2.0,2.0,0.16,0.0,0.0,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-18,18:00 (10:00),Final,Sun,Neutral,D,3 (2),3 (4),ar Argentina,3,8,3,37.5,0.13,0.33,22.8,0,2,2,2.2,0.7,0.09,+0.8,+0.3,Match Report
,,,,,5-1-1,16,8,,16,100,33,33.0,0.14,0.42,15.8,2,2,2,13.8,12.2,0.13,+2.2,+1.8,
