,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,,,,,-additional
Player,#,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,-9999
Olivier Giroud,9,FW,36-053,88,0,0,0,0,0,0,2,0.0,2,1,0,1,0,0,0,0,16ceb862
Marcus Thuram,26,FW,25-108,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,6f8cd6d0
Kylian Mbappé,10,LW,23-337,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,42fd9c7f
Ousmane Dembélé,11,RW,25-191,76,1,1,0,0,1,0,0,,0,0,0,0,0,1,0,0,b19db005
Kingsley Coman,20,RW,26-162,14,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,042e8a49
Antoine Griezmann,7,AM,31-246,90,3,2,2,1,0,0,0,,0,0,0,0,1,4,2,0,df69b544
Adrien Rabiot,14,DM,27-233,90,5,4,1,2,2,2,2,100.0,0,2,0,2,1,6,0,0,8794e251
Aurélien Tchouaméni,8,DM,22-299,76,4,1,0,4,0,0,0,,0,0,0,0,3,7,0,0,4f255115
Youssouf Fofana,13,DM,23-316,14,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,822d51d7
Lucas Hernández,21,LB,26-281,12,1,1,0,1,0,1,2,50.0,1,0,0,0,0,1,0,0,c3ee18ef
Theo Hernández,22,LB,25-047,78,1,1,0,1,0,1,1,100.0,0,1,0,1,1,2,0,1,d4c9725f
Dayot Upamecano,18,CB,24-026,90,4,3,3,1,0,2,2,100.0,0,0,0,0,3,7,0,0,d248cd8f
Ibrahima Konaté,24,CB,23-181,90,1,1,1,0,0,0,0,,0,0,0,0,1,2,4,0,5ed9b537
Benjamin Pavard,2,RB,26-239,88,0,0,0,0,0,0,0,,0,3,0,3,1,1,0,0,45a03961
Jules Koundé,5,RB,24-010,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,4d1666ff
Hugo Lloris,1,GK,35-331,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,8f62b6ee
16 Players,,,,990,20,14,7,10,3,6,9,66.7,3,7,0,7,12,32,6,1,-9999
