,,,,,,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,-additional
Player,#,Pos,Age,Club,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,-9999
Olivier Giroud,9,FW,36-053,1.it Milan,88,2,0,0,0,5,2,0,0,19,0,0,1,1.7,1.7,0.1,1,0,10,12,83.3,1,8,0,0,0,16ceb862
Marcus Thuram,26,FW,25-108,1.de M'Gladbach,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,6f8cd6d0
Kylian Mbappé,10,LW,23-337,1.fr Paris S-G,90,1,1,0,0,7,1,0,0,76,0,0,0,1.2,1.2,0.6,10,3,41,57,71.9,1,47,7,9,3,42fd9c7f
Ousmane Dembélé,11,RW,25-191,1.es Barcelona,76,0,1,0,0,2,0,0,0,41,1,0,0,0.2,0.2,0.6,4,1,25,32,78.1,2,28,4,6,3,b19db005
Kingsley Coman,20,RW,26-162,1.de Bayern Munich,14,0,0,0,0,0,0,0,0,17,0,1,0,0.0,0.0,0.0,0,0,12,13,92.3,1,15,2,1,1,042e8a49
Antoine Griezmann,7,AM,31-246,1.es Atlético Madrid,90,0,0,0,0,3,0,0,0,86,3,1,0,0.3,0.3,1.1,6,0,64,75,85.3,9,46,1,1,0,df69b544
Adrien Rabiot,14,DM,27-233,1.it Juventus,90,1,1,0,0,1,1,0,0,79,5,1,2,0.2,0.2,0.8,2,1,59,65,90.8,2,49,2,1,0,8794e251
Aurélien Tchouaméni,8,DM,22-299,1.es Real Madrid,76,0,0,0,0,1,0,0,0,85,4,3,0,0.1,0.1,0.0,3,0,73,76,96.1,13,69,0,0,0,4f255115
Youssouf Fofana,13,DM,23-316,1.fr Monaco,14,0,0,0,0,0,0,0,0,19,0,0,0,0.0,0.0,0.0,0,0,18,18,100.0,1,12,1,0,0,822d51d7
Lucas Hernández,21,LB,26-281,1.de Bayern Munich,12,0,0,0,0,0,0,0,0,10,1,0,0,0.0,0.0,0.0,0,0,5,10,50.0,1,6,0,0,0,c3ee18ef
Theo Hernández,22,LB,25-047,1.it Milan,78,0,1,0,0,2,1,0,0,73,1,1,1,0.1,0.1,0.6,6,1,60,67,89.6,6,47,7,3,1,d4c9725f
Dayot Upamecano,18,CB,24-026,1.de Bayern Munich,90,0,0,0,0,0,0,0,0,129,4,3,0,0.0,0.0,0.0,9,2,114,120,95.0,12,99,1,0,0,d248cd8f
Ibrahima Konaté,24,CB,23-181,1.eng Liverpool,90,0,0,0,0,2,1,0,0,110,1,1,0,0.4,0.4,0.0,1,0,88,100,88.0,8,83,0,0,0,5ed9b537
Benjamin Pavard,2,RB,26-239,1.de Bayern Munich,88,0,0,0,0,0,0,0,0,94,0,1,3,0.0,0.0,0.0,1,0,82,90,91.1,4,55,2,0,0,45a03961
Jules Koundé,5,RB,24-010,1.es Barcelona,2,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,1,0,8,9,88.9,0,6,1,0,0,4d1666ff
Hugo Lloris,1,GK,35-331,1.eng Tottenham,90,0,0,0,0,0,0,0,0,25,0,0,0,0.0,0.0,0.0,0,0,19,24,79.2,0,13,0,0,0,8f62b6ee
16 Players,,,,,990,4,4,0,0,23,6,0,0,872,20,12,7,4.2,4.2,3.9,44,8,678,768,88.3,61,583,28,21,8,-9999
