 
,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,,,,,,-additional
Player,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,-9999
Aurélien Tchouaméni,MF,22,6.9,11,4,4,6,1,3,7,42.9,4,3,1,2,14,25,6,0,Matches,4f255115
Kylian Mbappé,FW,23,6.6,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,42fd9c7f
Hugo Lloris,GK,35,6.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,Matches,8f62b6ee
Antoine Griezmann,MF,31,6.0,14,8,9,5,0,3,5,60.0,2,8,3,5,8,22,7,0,Matches,df69b544
Raphaël Varane,DF,29,5.8,1,0,0,1,0,0,2,0.0,2,4,3,1,6,7,15,0,Matches,9f8e9423
Ousmane Dembélé,FW,25,4.8,11,6,5,3,3,6,9,66.7,3,3,0,3,2,13,0,0,Matches,b19db005
Olivier Giroud,FW,35,4.7,1,0,0,1,0,0,3,0.0,3,1,0,1,1,2,5,0,Matches,16ceb862
Theo Hernández,DF,24,5.6,16,13,11,5,0,10,15,66.7,5,5,2,3,4,20,8,1,Matches,d4c9725f
Adrien Rabiot,MF,27,5.4,12,9,4,6,2,4,7,57.1,3,12,2,10,10,22,6,0,Matches,8794e251
Jules Koundé,DF,23,5.3,11,8,9,1,1,7,12,58.3,5,7,4,3,5,16,8,0,Matches,4d1666ff
Dayot Upamecano,DF,23,5.3,11,7,10,1,0,6,6,100.0,0,5,4,1,6,17,13,0,Matches,d248cd8f
Ibrahima Konaté,DF,23,3.3,15,6,11,4,0,5,5,100.0,0,5,2,3,7,22,16,0,Matches,5ed9b537
Youssouf Fofana,MF,23,2.5,8,5,3,4,1,1,4,25.0,3,6,1,5,3,11,0,0,Matches,822d51d7
Randal Kolo Muani,FW,23,2.0,7,5,1,3,3,3,3,100.0,0,1,0,1,1,8,1,0,Matches,c0b3669f
Kingsley Coman,FWMF,26,1.9,3,2,1,2,0,1,2,50.0,1,3,0,3,2,5,1,0,Matches,042e8a49
Eduardo Camavinga,DF,19,1.6,14,9,7,5,2,4,5,80.0,1,4,0,4,3,17,6,0,Matches,7b9c2d84
Axel Disasi,DF,24,1.0,3,2,1,2,0,0,2,0.0,2,0,0,0,3,6,4,0,Matches,ad82197c
Steve Mandanda,GK,37,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,1d2d5cc8
Benjamin Pavard,DF,26,1.0,0,0,0,0,0,0,0,,0,3,0,3,1,1,0,0,Matches,45a03961
Mattéo Guendouzi,FWMF,23,0.9,1,1,0,1,0,0,1,0.0,1,0,0,0,0,1,0,0,Matches,5ea8ef20
Jordan Veretout,MF,29,0.7,2,0,0,2,0,1,1,100.0,0,0,0,0,0,2,2,0,Matches,4a56052c
Lucas Hernández,DF,26,0.1,1,1,0,1,0,1,2,50.0,1,0,0,0,0,1,0,0,Matches,c3ee18ef
Marcus Thuram,FWMF,24,1.7,3,2,1,1,1,0,0,,0,2,0,2,0,3,2,0,Matches,6f8cd6d0
William Saliba,DF,21,0.3,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches,972aeb2a
Squad Total,,26.3,7.3,145,88,77,54,14,55,91,60.4,36,73,22,51,76,221,103,1,,-9999
Opponent Total,,26.8,7.3,125,82,61,53,11,56,125,44.8,69,85,30,55,54,179,128,2,,-9999
