 
,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,,,-additional
Player,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,-9999
Aurélien Tchouaméni,MF,22,6.9,424,474,89.5,7447,1871,183,196,93.4,205,221,92.8,30,42,71.4,0,1.0,0.4,-1.0,6,48,3,0,50,Matches,4f255115
Kylian Mbappé,FW,23,6.6,173,229,75.5,2564,645,110,123,89.4,48,61,78.7,12,25,48.0,2,1.3,1.3,+0.7,11,16,8,2,25,Matches,42fd9c7f
Hugo Lloris,GK,35,6.3,110,182,60.4,3602,2901,18,18,100.0,47,49,95.9,45,114,39.5,0,0.0,0.0,0.0,0,2,0,0,0,Matches,8f62b6ee
Antoine Griezmann,MF,31,6.0,258,329,78.4,4900,1373,123,135,91.1,89,112,79.5,42,66,63.6,3,3.1,3.6,-0.1,21,26,10,5,36,Matches,df69b544
Raphaël Varane,DF,29,5.8,256,286,89.5,5125,1467,78,85,91.8,155,162,95.7,23,38,60.5,0,0.0,0.0,0.0,0,20,0,0,7,Matches,9f8e9423
Ousmane Dembélé,FW,25,4.8,145,192,75.5,2332,475,76,89,85.4,51,63,81.0,12,25,48.0,2,1.6,1.0,+0.4,11,7,13,6,15,Matches,b19db005
Olivier Giroud,FW,35,4.7,48,74,64.9,633,148,37,50,74.0,9,18,50.0,1,2,50.0,0,0.1,0.3,-0.1,2,4,1,0,9,Matches,16ceb862
Theo Hernández,DF,24,5.6,289,339,85.3,4669,1343,156,169,92.3,105,119,88.2,25,39,64.1,2,1.2,1.0,+0.8,11,23,7,5,23,Matches,d4c9725f
Adrien Rabiot,MF,27,5.4,237,284,83.5,3780,847,128,144,88.9,84,95,88.4,18,26,69.2,1,0.9,0.5,+0.1,3,36,0,0,18,Matches,8794e251
Jules Koundé,DF,23,5.3,252,311,81.0,4131,1297,128,137,93.4,98,121,81.0,22,29,75.9,0,0.1,0.1,-0.1,1,25,0,0,20,Matches,4d1666ff
Dayot Upamecano,DF,23,5.3,314,351,89.5,6860,2217,83,88,94.3,172,179,96.1,56,75,74.7,0,0.1,0.1,-0.1,2,28,0,0,26,Matches,d248cd8f
Ibrahima Konaté,DF,23,3.3,215,235,91.5,4319,1516,71,76,93.4,118,124,95.2,26,34,76.5,0,0.4,0.3,-0.4,2,22,1,0,18,Matches,5ed9b537
Youssouf Fofana,MF,23,2.5,96,112,85.7,1582,341,46,53,86.8,43,44,97.7,6,11,54.5,0,0.2,0.1,-0.2,1,14,1,0,11,Matches,822d51d7
Randal Kolo Muani,FW,23,2.0,25,43,58.1,325,36,19,28,67.9,6,8,75.0,0,0,,0,0.0,0.0,0.0,0,2,0,0,1,Matches,c0b3669f
Kingsley Coman,FWMF,26,1.9,56,72,77.8,835,123,32,35,91.4,20,25,80.0,4,10,40.0,0,0.1,0.2,-0.1,1,1,2,1,1,Matches,042e8a49
Eduardo Camavinga,DF,19,1.6,88,101,87.1,1444,423,48,50,96.0,37,41,90.2,3,7,42.9,0,0.1,0.1,-0.1,3,3,2,1,6,Matches,7b9c2d84
Axel Disasi,DF,24,1.0,61,78,78.2,918,302,30,36,83.3,24,30,80.0,2,4,50.0,0,0.0,0.0,0.0,0,2,0,0,7,Matches,ad82197c
Steve Mandanda,GK,37,1.0,19,31,61.3,414,303,2,2,100.0,15,15,100.0,2,14,14.3,0,0.0,0.0,0.0,0,0,0,0,0,Matches,1d2d5cc8
Benjamin Pavard,DF,26,1.0,82,90,91.1,1249,249,47,48,97.9,32,35,91.4,2,6,33.3,0,0.0,0.0,0.0,0,10,0,0,4,Matches,45a03961
Mattéo Guendouzi,FWMF,23,0.9,27,33,81.8,399,79,17,21,81.0,9,9,100.0,1,2,50.0,0,0.0,0.0,0.0,0,4,0,0,1,Matches,5ea8ef20
Jordan Veretout,MF,29,0.7,33,36,91.7,609,139,13,15,86.7,16,16,100.0,4,4,100.0,0,0.0,0.0,0.0,0,3,0,0,2,Matches,4a56052c
Lucas Hernández,DF,26,0.1,5,10,50.0,66,16,4,7,57.1,1,1,100.0,0,1,0.0,0,0.0,0.0,0.0,0,1,0,0,1,Matches,c3ee18ef
Marcus Thuram,FWMF,24,1.7,27,40,67.5,366,86,20,25,80.0,4,10,40.0,2,3,66.7,2,0.3,0.1,+1.7,4,1,5,0,6,Matches,6f8cd6d0
William Saliba,DF,21,0.3,37,37,100.0,640,217,12,12,100.0,24,24,100.0,1,1,100.0,0,0.0,0.0,0.0,1,2,0,0,2,Matches,972aeb2a
Squad Total,,26.3,7.3,3277,3969,82.6,59209,18414,1481,1642,90.2,1412,1582,89.3,339,578,58.7,12,10.3,9.2,+1.7,80,300,53,20,289,,-9999
Opponent Total,,26.8,7.3,3085,3747,82.3,51571,17503,1526,1703,89.6,1271,1418,89.6,224,457,49.0,4,4.4,5.3,-0.4,51,208,44,10,310,,-9999
