For France,For France,For France,For France,For France,For France,For France,For France,For France,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report
2022-11-22,22:00 (14:00),Group stage,Tue,Neutral,W,4,1,au Australia,678,768,88.3,11831,3288,321,344,93.3,290,323,89.8,60,84,71.4,4,3.9,3.4,18,72,17,8,61,Match Report
2022-11-26,19:00 (11:00),Group stage,Sat,Neutral,W,2,1,dk Denmark,455,539,84.4,8574,2740,195,211,92.4,195,214,91.1,60,94,63.8,2,2.3,2.1,19,36,9,6,39,Match Report
2022-11-30,18:00 (10:00),Group stage,Wed,Neutral,L,0,1,tn Tunisia,573,676,84.8,10320,3099,243,270,90.0,277,296,93.6,47,79,59.5,0,0.5,0.5,7,44,6,2,48,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-04,18:00 (10:00),Round of 16,Sun,Neutral,W,3,1,pl Poland,501,601,83.4,8246,2559,275,298,92.3,185,208,88.9,36,71,50.7,3,1.1,0.9,11,50,7,1,45,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-10,22:00 (14:00),Quarter-finals,Sat,Neutral,W,2,1,eng England,325,409,79.5,6174,2136,149,165,90.3,132,151,87.4,39,75,52.0,2,1.0,0.9,8,40,5,3,31,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-14,22:00 (14:00),Semi-finals,Wed,Neutral,W,2,0,ma Morocco,309,390,79.2,5704,1904,127,148,85.8,140,159,88.1,37,69,53.6,0,1.2,0.9,11,23,5,0,27,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-18,18:00 (10:00),Final,Sun,Neutral,D,3 (2),3 (4),ar Argentina,436,586,74.4,8360,2688,171,206,83.0,193,231,83.5,60,106,56.6,1,0.6,0.6,6,35,4,0,38,Match Report
,,,,,5-1-1,16,8,,3277,3969,82.6,59209,18414,1481,1642,90.2,1412,1582,89.3,339,578,58.7,12,10.5,9.2,80,300,53,20,289,
