Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG
ar Argentina,24,27.5,57.4,7,77,690,7.7,15,8,23,11,4,5,17,0,15.1,11.3,7.7,19
au Australia,20,27.8,37.8,4,44,360,4,3,3,6,3,0,0,7,0,2.3,2.3,1.9,4.2
be Belgium,20,29.7,57,3,33,270,3,1,1,2,1,0,0,5,0,4.7,4.7,3.8,8.5
br Brazil,26,27.6,56.2,5,55,480,5.3,8,6,14,7,1,1,6,0,12,11.2,8.2,19.4
cm Cameroon,22,27.2,41.7,3,33,270,3,4,4,8,4,0,0,8,1,3.4,3.4,2,5.4
ca Canada,19,27.3,52,3,33,270,3,1,1,2,1,0,1,8,0,4.2,3.6,2.8,6.4
cr Costa Rica,22,29.7,31.3,3,33,270,3,3,1,4,3,0,0,6,0,1.4,1.4,0.6,2
hr Croatia,21,28.3,54.3,7,77,690,7.7,8,8,16,8,0,0,8,0,7,7,5.6,12.6
dk Denmark,20,26.6,60,3,33,270,3,1,1,2,1,0,0,5,0,2.7,2.7,1.8,4.5
ec Ecuador,18,24.9,53.3,3,33,270,3,4,2,6,3,1,1,3,0,3.7,2.9,1.8,4.7
eng England,20,26.1,62.8,5,55,450,5,13,11,24,12,1,2,1,0,8.7,7.1,5.7,12.8
fr France,24,26.3,51.3,7,77,660,7.3,16,12,28,14,2,2,8,0,13.8,12.2,10.3,22.5
de Germany,20,27.3,59.3,3,33,270,3,6,5,11,5,1,1,3,0,10.1,9.3,7.5,16.8
gh Ghana,20,25.5,42,3,33,270,3,5,2,7,5,0,1,8,0,4.1,3.4,1.7,5.1
ir Iran,21,28.5,36.7,3,33,270,3,4,2,6,3,1,1,7,0,3.2,2.8,2.4,5.2
jp Japan,22,28,35.8,4,44,390,4.3,5,4,9,5,0,0,6,0,5,5,3.5,8.5
kr Korea Republic,21,28.2,48.3,4,44,360,4,5,3,8,5,0,0,6,0,4.6,4.6,3.3,7.9
mx Mexico,21,28.2,54,3,33,270,3,2,1,3,2,0,0,7,0,3.3,3.3,2.7,6
ma Morocco,25,26.3,39,7,77,660,7.3,6,4,10,6,0,0,9,1,6.6,6.6,4.6,11.2
nl Netherlands,21,26.8,53,5,55,480,5.3,10,8,18,10,0,0,12,1,4.6,4.6,2.9,7.5
pl Poland,21,27.8,37.3,4,44,360,4,3,1,4,2,1,2,7,0,4.5,2.9,1.8,4.7
pt Portugal,24,26.9,60.4,5,55,450,5,12,10,22,10,2,2,6,0,7.9,6.3,5.3,11.6
qa Qatar,20,28.2,43,3,33,270,3,1,1,2,1,0,0,7,0,1.4,1.4,1.2,2.6
sa Saudi Arabia,23,27.3,44.7,3,33,270,3,3,2,5,3,0,1,14,0,3,2.1,1.4,3.5
sn Senegal,20,26.9,44.8,4,44,360,4,5,2,7,4,1,1,7,0,4.6,3.8,2.5,6.2
rs Serbia,22,26.5,51.3,3,33,270,3,5,4,9,5,0,0,12,0,3.4,3.4,2.9,6.2
es Spain,21,25.5,75,4,44,390,4.3,9,5,14,8,1,1,2,0,6.2,5.4,4,9.4
ch Switzerland,24,27.6,49,4,44,360,4,5,4,9,5,0,0,9,0,5.5,5.5,3.6,9.1
tn Tunisia,21,26.9,44.3,3,33,270,3,1,1,2,1,0,0,5,0,2.3,2.3,1.9,4.2
us United States,20,24.5,53,4,44,360,4,3,3,6,3,0,0,5,0,4.1,4.1,3.5,7.6
uy Uruguay,19,27.6,48.7,3,33,270,3,2,1,3,2,0,0,8,0,3.7,3.7,2.8,6.4
wls Wales,18,26.8,46.7,3,33,270,3,1,0,1,0,1,1,5,1,2.7,1.9,1.8,3.7
