player,blocks,tkl,tklw,shots,passes,int,clr
Player,Total Blocks,Number of Tackles made,Number of tackles won,Total Shots blocked,Total Passes blocked,Interceptions,Clearances
Aurélien Tchouaméni,3,11,4,1,2,14,6
Kylian Mbappé,0,0,0,0,0,0,0
Hugo Lloris,0,0,0,0,0,0,3
Antoine Griezmann,8,14,8,3,5,8,7
Raphaël Varane,4,1,0,3,1,6,15
Ousmane Dembélé,3,11,6,0,3,2,0
Olivier Giroud,1,1,0,0,1,1,5
Theo Hernández,5,16,13,2,3,4,8
Adrien Rabiot,12,12,9,2,10,10,6
Jules Koundé,7,11,8,4,3,5,8
Dayot Upamecano,5,11,7,4,1,6,13
Ibrahima Konaté,5,15,6,2,3,7,16
Youssouf Fofana,6,8,5,1,5,3,0
Randal Kolo Muani,1,7,5,0,1,1,1
Kingsley Coman,3,3,2,0,3,2,1
Eduardo Camavinga,4,14,9,0,4,3,6
Axel Disasi,0,3,2,0,0,3,4
Steve Mandanda,0,0,0,0,0,0,0
Benjamin Pavard,3,0,0,0,3,1,0
Mattéo Guendouzi,0,1,1,0,0,0,0
Jordan Veretout,0,2,0,0,0,0,2
Lucas Hernández,0,1,1,0,0,0,0
Marcus Thuram,2,3,2,0,2,0,2
William Saliba,1,0,0,0,1,0,0
