player,tkl,tkl_won,def_3rd,mid_3rd,attacking_3rd
Player,Tackles,Tackles Won,Tackles in defensive 1/3,Tackles in middle 1/3,Tackles in attacking 1/3
Aurélien Tchouaméni,11,4,4,6,1
Kylian Mbappé,0,0,0,0,0
Hugo Lloris,0,0,0,0,0
Antoine Griezmann,14,8,9,5,0
Raphaël Varane,1,0,0,1,0
Ousmane Dembélé,11,6,5,3,3
Olivier Giroud,1,0,0,1,0
Theo Hernández,16,13,11,5,0
Adrien Rabiot,12,9,4,6,2
Jules Koundé,11,8,9,1,1
Dayot Upamecano,11,7,10,1,0
Ibrahima Konaté,15,6,11,4,0
Youssouf Fofana,8,5,3,4,1
Randal Kolo Muani,7,5,1,3,3
Kingsley Coman,3,2,1,2,0
Eduardo Camavinga,14,9,7,5,2
Axel Disasi,3,2,1,2,0
Steve Mandanda,0,0,0,0,0
Benjamin Pavard,0,0,0,0,0
Mattéo Guendouzi,1,1,0,1,0
Jordan Veretout,2,0,0,2,0
Lucas Hernández,1,1,0,1,0
Marcus Thuram,3,2,1,1,1
William Saliba,0,0,0,0,0
