player,blocks,shots_blocked,passes_blocked
Player,Total blocks,Shots blocked,Passes blocked
Aurélien Tchouaméni,3,1,2
Kylian Mbappé,0,0,0
Hugo Lloris,0,0,0
Antoine Griezmann,8,3,5
Raphaël Varane,4,3,1
Ousmane Dembélé,3,0,3
Olivier Giroud,1,0,1
Theo Hernández,5,2,3
Adrien Rabiot,12,2,10
Jules Koundé,7,4,3
Dayot Upamecano,5,4,1
Ibrahima Konaté,5,2,3
Youssouf Fofana,6,1,5
Randal Kolo Muani,1,0,1
Kingsley Coman,3,0,3
Eduardo Camavinga,4,0,4
Axel Disasi,0,0,0
Steve Mandanda,0,0,0
Benjamin Pavard,3,0,3
Mattéo Guendouzi,0,0,0
Jordan Veretout,0,0,0
Lucas Hernández,0,0,0
Marcus Thuram,2,0,2
William Saliba,1,0,1
