player,goals,shots,shots_on_target
Aurélien Tchouaméni,1,6,2
Kylian Mbappé,8,29,11
Hugo Lloris,0,0,0
Antoine Griezmann,0,6,2
Raphaël Varane,0,3,0
Ousmane Dembélé,0,8,2
Olivier Giroud,4,16,6
Theo Hernández,1,5,2
Adrien Rabiot,1,9,4
Jules Koundé,0,4,1
Dayot Upamecano,0,1,0
Ibrahima Konaté,0,2,1
Youssouf Fofana,0,4,0
Randal Kolo Muani,1,4,2
Kingsley Coman,0,1,0
Eduardo Camavinga,0,0,0
Axel Disasi,0,1,0
Steve Mandanda,0,0,0
Benjamin Pavard,0,0,0
Mattéo Guendouzi,0,0,0
Jordan Veretout,0,0,0
Lucas Hernández,0,0,0
Marcus Thuram,0,1,0
William Saliba,0,0,0
