player,field_kicks,penality_kicks,penality_kicks_attempted
Player,Field Kicks,Penality Kicks,Penality Kicks Attempted
Aurélien Tchouaméni,0,0,0
Kylian Mbappé,1,2,2
Hugo Lloris,0,0,0
Antoine Griezmann,1,0,0
Raphaël Varane,0,0,0
Ousmane Dembélé,0,0,0
Olivier Giroud,0,0,0
Theo Hernández,0,0,0
Adrien Rabiot,0,0,0
Jules Koundé,0,0,0
Dayot Upamecano,0,0,0
Ibrahima Konaté,0,0,0
Youssouf Fofana,0,0,0
Randal Kolo Muani,0,0,0
Kingsley Coman,0,0,0
Eduardo Camavinga,0,0,0
Axel Disasi,0,0,0
Steve Mandanda,0,0,0
Benjamin Pavard,0,0,0
Mattéo Guendouzi,0,0,0
Jordan Veretout,0,0,0
Lucas Hernández,0,0,0
Marcus Thuram,0,0,0
William Saliba,0,0,0
