player,touches,carries
Player,Number of times a player touched a ball,Number of times a player controlled the ball with their feet
Aurélien Tchouaméni,532,353
Kylian Mbappé,322,232
Hugo Lloris,202,92
Antoine Griezmann,384,201
Raphaël Varane,321,223
Ousmane Dembélé,244,164
Olivier Giroud,111,42
Theo Hernández,386,220
Adrien Rabiot,352,220
Jules Koundé,352,171
Dayot Upamecano,395,281
Ibrahima Konaté,278,196
Youssouf Fofana,138,72
Randal Kolo Muani,75,37
Kingsley Coman,102,68
Eduardo Camavinga,141,78
Axel Disasi,91,37
Steve Mandanda,32,13
Benjamin Pavard,94,55
Mattéo Guendouzi,37,25
Jordan Veretout,43,20
Lucas Hernández,10,6
Marcus Thuram,74,41
William Saliba,38,29
