player,squad,Goals,Shots / 2,SoT
Player,Squad,Goals,Shots,SoT
Kylian Mbappé,fr France,8,29,11
Lionel Messi,ar Argentina,7,27,13
Julián Álvarez,ar Argentina,4,11,8
Olivier Giroud,fr France,4,16,6
Cody Gakpo,nl Netherlands,3,5,3
Álvaro Morata,es Spain,3,8,5
Gonçalo Ramos,pt Portugal,3,7,5
Marcus Rashford,eng England,3,11,6
Richarlison,br Brazil,3,8,4
Bukayo Saka,eng England,3,7,5
Enner Valencia,ec Ecuador,3,8,3
Vincent Aboubakar,cm Cameroon,2,6,3
Salem Al-Dawsari,sa Saudi Arabia,2,6,4
Giorgian De Arrascaeta,uy Uruguay,2,3,3
Ritsu Doan,jp Japan,2,4,3
Breel Embolo,ch Switzerland,2,6,3
Youssef En-Nesyri,ma Morocco,2,9,3
Bruno Fernandes,pt Portugal,2,7,2
Niclas Füllkrug,de Germany,2,8,3
Cho Guesung,kr Korea Republic,2,9,5
Kai Havertz,de Germany,2,5,3
Harry Kane,eng England,2,10,5
Andrej Kramarić,hr Croatia,2,10,4
Rafael Leão,pt Portugal,2,5,2
Robert Lewandowski,pl Poland,2,10,2
Aleksandar Mitrović,rs Serbia,2,10,3
Kudus Mohammed,gh Ghana,2,8,4
Neymar,br Brazil,2,11,6
Mehdi Taremi,ir IR Iran,2,5,1
Ferrán Torres,es Spain,2,3,1
Antoine Griezmann,fr France,0,6,2
Theo Hernández,fr France,1,5,2
