player,squad,Passes,Attempted Passes
Player,Squad,Passes,Attempted
Bruno Fernandes,pt Portugal,1.88,233
Antoine Griezmann,fr France,2.58,329
Harry Kane,eng England,6.2,98
Lionel Messi,ar Argentina,3.00,371
Ivan Perišić,hr Croatia,2.02,292
Jordi Alba,es Spain,3.28,3.72
Diogo Dalot,pt Portugal,1.12,147
Denzel Dumfries,nl Netherlands,1.49,217
João Félix,pt Portugal,9.1,122
Phil Foden,eng England,9.0,117
Raphaël Guerreiro,pt Portugal,1.56,185
Theo Hernández,fr France,2.89,339
Vinicius Júnior,br Brazil,6.8,90
Davy Klaassen,nl Netherlands,5.9,77
Kylian Mbappé,fr France,1.73,229
Mislav Oršić,hr Croatia,4.0,54
Christian Pulisic,us United States,8.3,141
Dušan Tadić,rs Serbia,9.0,127
Andrija Živković,rs Serbia,7.1,96
Vincent Aboubakar,cm Cameroon,2.0,31
Toby Alderweireld,be Belgium,2.48,273
Joachim Andersen,dk Denmark,1.98,250
Yahya Attiat Allah,ma Morocco,9.8,137
Jordan Ayew,gh Ghana,3.5,46
César Azpilicueta,es Spain,1.71,181
Hattan Bahebri,sa Saudi Arabia,4,7
Jude Bellingham,eng England,2.35,265
Steven Berghuis,nl Netherlands,9.7,131
Olivier Giroud,fr France,4.8,74
