player,squad,Touches
Player,Squad,Touches
Rodri,es Spain,7.11
Nicolás Otamendi,ar Argentina,6.41
Rodrigo De Paul,ar Argentina,6.26
Luka Modrić,hr Croatia,6.13
Joško Gvardiol,hr Croatia,6.02
Marcelo Brozović,hr Croatia,5.94
Enzo Fernández,ar Argentina,5.35
Mateo Kovačić,hr Croatia,5.24
Dejan Lovren,hr Croatia,5.16
Achraf Hakimi,ma Morocco,4.82
John Stones,eng England,4.75
Pedri,es Spain,4.68
Lionel Messi,ar Argentina,4.62
Josip Juranović,hr Croatia,4.61
Aymeric Laporte,es Spain,4.55
Harry Maguire,eng England,4.47
Cristian Romero,ar Argentina,4.25
Luke Shaw,eng England,4.20
Frenkie de Jong,nl Netherlands,4.12
Nahuel Molina,ar Argentina,4.05
Virgil van Dijk,nl Netherlands,3.99
Jordi Alba,es Spain,3.95
Nathan Aké,nl Netherlands,3.93
Marquinhos,br Brazil,3.92
Hakim Ziyech,ma Morocco,3.91
Theo Hernández,fr France,3.86
Kylian Mbappé,fr France,3.22
Olivier Giroud,fr France,1.11
Antoine Griezmann,fr France,3.84
